"timestamp","user_email","risk_level","risk_score","anomaly_detected","explanation","recommended_action","incident_id","id"
"{""2026-01-29 10:55:35+03""}","thalil","düşük",35,"false","Olay, kurum kontrolünde bir yazıcıya gönderildiği için düşük risklidir. 'AUTHORIZED' olarak işaretlenmiş olaylar genellikle izin verilen hareketlerdir. Veri hacmi düşük olduğundan email kanalı kadar risk taşımamaktadır.","Bu olay izlenebilir ancak anormal bir durum olarak değerlendirilmemektedir. Gelecekte benzer olaylar takip edilmeli ve kullanıcı farkındalık eğitimleri ile yazıcı kullanımı konusunda bilgilendirilmelidir.",338423401,"35"
"{""2026-01-29 10:55:19+03""}","thalil","düşük",25,"false","Bu olayda, yazdırma kanalında (`endpoint`) ve kurumsal bir hedefe gönderim yapılmıştır. `action` alanı 'AUTHORIZED' olduğu için herhangi bir engelleme veya karantinaya alma durumu yoktur. `max_matches` değeri 9 olduğundan veri hacmi düşük risk oluşturmaktadır.","Yazdırma işlemleri rutin olarak izlenmeli ancak mevcut durumda ek bir aksiyon gerekmemektedir.",338423125,"36"
"{""2026-01-29 10:55:17+03""}","ksena","düşük",25,"false","Olay ENDPOINT_PRINTING kanalında ve kurum içi bir yazıcıya yönlendirilmiş. Veri aktarımı kurum kontrolünde olduğundan dolayı risk düşüktür. Dosyanın authorized (izin verilmiş) olarak işaretlenmesi bu davranışın izin verilen bir işlem olduğunu gösteriyor.","Olay düşük risk seviyesinde ancak izlemeye devam edilmelidir. Kullanıcının veri transfer davranışları rutinmiş gibi görünse de, düzenli kontrol ile anormal bir faaliyet olup olmadığı gözlemlenmelidir.",338423263,"37"
"{""2026-01-29 10:55:14+03""}","ksena","düşük",30,"false","Olay 'ENDPOINT_PRINTING' kanalından geldiği ve 'AUTHORIZED' olarak işaretlendiği için risk seviyesi düşüktür. Yazıcı kanalı kurum kontrolündedir, veri hacmi de düşük olduğu için ciddi bir tehlike arz etmez.","Olayın kayıt altında tutulması ve periyodik olarak gözden geçirilmesi tavsiye edilir.",338423258,"38"
"{""2026-01-29 10:55:04+03""}","thalil","düşük",20,"false","Olay, kurum içinde bir yazıcıya yapılan veri transferini içermekte ve 'authorized' olarak işaretlenmiştir. Endpoint kanalı kullanıldığı için risk düşük kabul edilir. Destination adresi kurumsal bir kaynağı işaret ettiğinden dışarıya veri aktarımı riski yoktur. Veri hacmi de düşük seviyededir.","Olayın kurum içi bir yazıcıya yapılmış olması nedeniyle daha fazla izlemeye gerek yoktur. Ancak, benzer olaylar için periyodik incelemeler yapılarak tüm transferlerin uygun şekilde yetkilendirildiğinden emin olunmalıdır.",338422988,"39"
"{""2026-01-29 10:54:43+03""}","kazimo","orta",35,"false","Olay 'email' kanalı üzerinden gerçekleşmiş ve kurumsal bir alana gönderim yapılmıştır. Ancak, action 'authorized' olduğundan ve 'max_matches' değeri düşük olduğundan risk seviyesi orta olarak değerlendirilmiştir.","Olayın detaylarını inceleyerek, gelecekte benzer olayların izlenmesi için uyarı sistemi kurun.",338423171,"40"
"{""2026-01-29 10:53:53+03""}","aozkan","orta",60,"false","E-posta kanalı üzerinden gönderilen veri, kurumsal bir alan adına gitmektedir. 'Action' bölümünde 'authorized' olarak işaretlenmiş, ancak 'max_matches' değeri göz önünde bulundurularak gönderilen veri hacmi orta risk düzeyinde değerlendirilmiştir.","İlgili kullanıcı hakkında daha fazla bilgi toplayarak, benzer olayların tekrar etmesi durumunda izleme yapın.",338423314,"41"
"{""2026-01-29 10:53:50+03""}","hesaparastirmaservisi@kuveytturk.com.tr","yüksek",80,"true","Olay, email kanalı üzerinden gerçekleşmiş ve dış bir adrese (fraud@enparabank.com) gönderim içeriyor. 'Quarantined' aksiyonu, olayın riskli olduğunu gösteriyor. Hedeflenen email adresi yabancı bir kuruma ait ve veri hacmi email kanalı için önemli. Bu faktörler, olayın anormal ve yüksek riskli olmasına neden oluyor.","Bu olayın detayları incelenmeli, kullanıcı ile iletişime geçilerek gönderimin amacı öğrenilmelidir. Aynı zamanda email trafiği ve kullanıcı aktiviteleri daha kapsamlı bir şekilde takip edilmelidir.",338423310,"42"
"{""2026-01-29 10:53:43+03""}","yberat","yüksek",75,"true","Olay, e-posta kanalı aracılığıyla kurumsal bir dış adrese gönderilen ve karantinaya alınmış bir veriyi içeriyor. Karantinaya alınmış olması, gönderimin riskli olarak değerlendirildiğini gösteriyor. Her ne kadar hedef adres kurumsal olsa da, durum anormal bir davranış sinyali veriyor olabilir.","Karantinaya alınan olayı daha detaylı inceleyin ve kullanıcının bu tür eylemleri tekrar edip etmediğini kontrol edin. Gerekiyorsa kullanıcıya bilgi verin ve güvenlik farkındalığı eğitimleri düzenleyin.",338423103,"43"
"{""2026-01-29 10:53:31+03""}","aksoyk","orta",45,"false","Email kanalı üzerinden kurumsal bir alan adına gönderim yapılmış ve olay yetkili olarak işaretlenmiş. Veri hacmi düşük seviyede olduğu için risk seviyesi orta olarak değerlendirilmiştir.","Olayın takibini sürdürün ve benzer olayların sıklığını izleyin. Gerekirse daha detaylı inceleme yaparak izin verilen gönderimlerin geçerliliğini doğrulayın.",338423021,"44"
"{""2026-01-29 10:52:51+03""}","melikeka","düşük",20,"false","Veri aktarımı kurum içi yazıcıya yapılmıştır ve yetkilendirilmiştir. 'endpoint' kanalı daha düşük risklidir ve kişisel veya kamuya açık bir e-posta servisi kullanılmamıştır. Veri hacmi yükseklik arz etmemektedir.","İzlemeye gerek yok, ancak benzer olaylar tekrarlarsa kullanıcı eğitimi verilebilir.",338422961,"45"
"{""2026-01-29 10:52:38+03""}","enkaya","düşük",20,"false","Olay, kurumsal bir yazıcıya yapıldığı için genel veri sızıntısı riski düşüktür. Kanal 'endpoint' ve hedef kurumsal bir sunucu olduğundan, veri hacmi ve diğer faktörler düşük risk göstermektedir.","Olayın kayıt altına alınarak izlenmesi yeterlidir; ancak benzer olayların artışı durumunda iç denetim yapılabilir.",338422769,"46"
"{""2026-01-29 10:52:35+03""}","enkaya","düşük",20,"false","Olay 'ENDPOINT_PRINTING' kanalı üzerinden gerçekleşmiştir ve hedef \srvsube-482\34-482-P01 kurumsal bir yazıcıdır, bu nedenle risk düşüktür. 'AUTHORIZED' aksiyonu, olayın izin verilen bir işlem olduğunu gösterir.","İlgili yazıcı kullanımlarını izlemeye devam edin, ancak şu an için ek bir önlem almaya gerek yoktur.",338422679,"47"
"{""2026-01-29 10:52:21+03""}","bgursu","orta",35,"false","Email kanalı üzerinden kurumsal bir alan adına gönderim yapılmış ve olay 'AUTHORIZED' olarak işaretlenmiştir. Bu durumda, gönderim izni verilmiş olsa da izlenmesi gerekir. Veri hacmi düşük seviyede olduğundan risk seviyesi 'orta' olarak değerlendirilmiştir.","Bu gönderimi izlemeye devam edin ve kullanıcı aktivitelerini gözlemleyin. Anormal bir davranış veya tekrarlayan olaylar tespit edilirse daha ileri düzeyde önlemler alın.",338422881,"48"
"{""2026-01-29 10:51:47+03""}","yiyakup","yüksek",75,"true","Olayın 'blocked' olması ve 'email' kanalında gerçekleşmesi, dış adreslere gönderimle birleştiğinde yüksek risk teşkil ediyor. Her ne kadar hedeflenen adresler kurumsal e-posta adresleri olsa da 'max_matches' değerinin bağlamsal olarak değerlendirilmesi kritik önemdedir.","Kullanıcı hareketleri yakından izlenmeli, olayın detayları incelenerek olası bir yanlış yapılandırma veya ihmal durumu olup olmadığı araştırılmalıdır. Güvenlik politikalarının ve eğitimlerin güncellenmesi düşünülmelidir.",338422251,"49"
