"incidentid","statusid","flowstatusid","assignmentgroupid","summarydescription","incidentdescription","impactid","priorityid","categoryid","assignedusercode","opendate","closedate","startdate","solutiondescription","requesttypeid","calltypeid","solutionmethod","username","definitioncategoryid","definitioncategorypath"
1314116,"2","3",5768,"özgün grup mail.","s.a.
ekli mailin alıcıya gönderilmesini talep ederiz.
proje evrakalrı gönderiyoruz.
mailler ektedir.
hayırlı cumalar diliyorum

finans@haksan.com.tr","2","4",18271,"absaglam","2026-02-13 14:12:37.65","2026-02-13 14:13:31.073","2026-02-13 12:28:43.087","Mailiniz 5 dakika içerisinde karşıya iletilecektir. Tekrar göndermenize gerek yoktur.","10","3","Mailiniz 5 dakika içerisinde karşıya iletilecektir. Tekrar göndermenize gerek yoktur.","absaglam",NULL,NULL
1314109,"2","3",5768,"mail iletimi","merhaba kolay gelsin;
firmaya findek üyelik evraklarını mail atamıyoruz veri güvenliği sebebiyle yardımcı olursanız sevinirim

97442186 schmıtz cargobull","2","4",18271,"absaglam","2026-02-13 14:05:15.947","2026-02-13 14:12:31.05","2026-02-13 12:04:46.533","Mailiniz 5 dakika içerisinde karşıya iletilecektir. Tekrar göndermenize gerek yoktur.","10","3","Mailiniz 5 dakika içerisinde karşıya iletilecektir. Tekrar göndermenize gerek yoktur.","absaglam",NULL,NULL
1313974,"2","3",5768,"veri güvenliği","merhaba,

ekteki mail veri güvenliği sebebi ile karşı tarafa iletilememiştir. yardım rica ederiz.","3","4",18271,"absaglam","2026-02-13 12:10:52.433","2026-02-13 12:17:47.963","2026-02-13 09:31:39.253","Mailiniz 5 dakika içerisinde karşıya iletilecektir. Tekrar göndermenize gerek yoktur.","10","3","-Mailiniz 5 dakika içerisinde karşıya iletilecektir. Tekrar göndermenize gerek yoktur.","absaglam",NULL,NULL
1314075,"2","3",5768,"ekstre basımı engelleme","ekstre basımında hassas içerik uyarısı sorunu","2","4",18271,"absaglam","2026-02-13 11:56:43.253","2026-02-13 11:58:16.71","2026-02-13 11:40:39.743","Merhaba,
Aşağıdaki linkte yer alan ""DLP Ajanı Nasıl Güncellenir?"" başlığındaki adımları uyguladıktan sonra işlemi yeniden yapmayı dener misiniz?
https://bilge.kuveytturk.com.tr/genel/24374-dlp-forcepoint-one-endpoint","10","3","Merhaba,
Aşağıdaki linkte yer alan ""DLP Ajanı Nasıl Güncellenir?"" başlığındaki adımları uyguladıktan sonra işlemi yeniden yapmayı dener misiniz?
https://bilge.kuveytturk.com.tr/genel/24374-dlp-forcepoint-one-endpoint","absaglam",NULL,NULL
1314064,"2","3",5768,"mail gönderimi","ekli mail gönderilebilmesi için uygunluğunuzu arz ederim.","2","4",18271,"absaglam","2026-02-13 11:44:26.217","2026-02-13 11:45:48.807","2026-02-13 11:15:13.103","Mailiniz 5 dakika içerisinde karşıya iletilecektir. Tekrar göndermenize gerek yoktur.
","10","3","Mailiniz 5 dakika içerisinde karşıya iletilecektir. Tekrar göndermenize gerek yoktur.
","absaglam",NULL,NULL
1314056,"2","3",5768,"mail gönderimi","merhabalar divitteki mail müşteriye ulaştırmamız gerekmektedir. istisna tanımı hususunda desteklerinizi talep ederiz.","2","4",18271,"absaglam","2026-02-13 11:43:24.42","2026-02-13 11:44:17.963","2026-02-13 11:09:26.657","Mailiniz 5 dakika içerisinde karşıya iletilecektir. Tekrar göndermenize gerek yoktur.
","10","3","Mailiniz 5 dakika içerisinde karşıya iletilecektir. Tekrar göndermenize gerek yoktur.
","absaglam",NULL,NULL
1313719,"2","3",5768,"mail hk.","yetki tanımı","2","4",18271,"absaglam","2026-02-13 11:42:24.453","2026-02-13 11:43:17.497","2026-02-12 13:48:53.597","Mailiniz 5 dakika içerisinde karşıya iletilecektir. Tekrar göndermenize gerek yoktur.
","10","3","Mailiniz 5 dakika içerisinde karşıya iletilecektir. Tekrar göndermenize gerek yoktur.
","absaglam",NULL,NULL
1314038,"2","3",5768,"Stopaj yazısı mail atma hakkında","merhaba,
Şubemizin mülk sahiplerine ekteki stopaj yazılarını göndermemiz gerekiyor ancak veri güvenliğine takılıyor. Mailin gönderilebilmesi hususunda desteklerinizi rica ediyoruz.
İyi çalımalar","2","4",18271,"absaglam","2026-02-13 10:42:37.437","2026-02-13 10:43:22.157","2026-02-13 10:33:39.997","Mailiniz 5 dakika içerisinde karşıya iletilecektir. Tekrar göndermenize gerek yoktur.
","10","3","Mailiniz 5 dakika içerisinde karşıya iletilecektir. Tekrar göndermenize gerek yoktur.
","absaglam",NULL,NULL
1313938,"1","3",5768,"ses dosyası paylaşımı uyarısı","merhaba,
kuveyttürk akademideki online toefl speaking bölümünden sesli sorulara yanıt verdiğimde sürekli olarak ekteki mailde belirtilen güvenlik uyarıları gelmektedir.
sakıncalı bir durum mu vardır. neden bu mailler gelmektedir.
link aşağıdadır:
https://kuveytturkakademitoeflpractice.azurewebsites.net/","3","4",18271,"absaglam","2026-02-13 10:20:19.307",NULL,"2026-02-13 08:42:01.063","Merhaba,
Aşağıdaki linkte yer alan ""DLP Ajanı Nasıl Güncellenir?"" başlığındaki adımları uyguladıktan sonra işlemi yeniden yapmayı dener misiniz?
https://bilge.kuveytturk.com.tr/genel/24374-dlp-forcepoint-one-endpoint","10","3","Merhaba,
Aşağıdaki linkte yer alan ""DLP Ajanı Nasıl Güncellenir?"" başlığındaki adımları uyguladıktan sonra işlemi yeniden yapmayı dener misiniz?
https://bilge.kuveytturk.com.tr/genel/24374-dlp-forcepoint-one-endpoint","absaglam",NULL,NULL
1313988,"2","3",5768,"Yazıcı DLP Uyarısı Hk.","Merhaba,
İş süreçlerimiz ile ilgili olarak çıktı alınması gereken, müşteri verilerini içeren veriler, çıktı olarak alınamamakta ve DLP uyarısına takılmaktadır. Hiç bir şekilde çıktı alamıyoruz.
Daha önce çok nadir olarak bu uyarıyı aldığımız oldu. Ancak iş süreçlerimizin aksaması adına Hukuk ve Takip İşleri Müdürlüğü için çıktı işlemleri bakımından kalıcı istisna tanımı yapılması konusunda yardımlarınızı rica ederiz.
iyi çalışmalar.","2","4",18271,"hatasoy","2026-02-13 10:08:45.73","2026-02-13 14:35:08.07","2026-02-13 09:32:12.343","Aşağıdaki linkte yer alan ""DLP Ajanı Nasıl Güncellenir?"" başlığındaki adımları uyguladıktan sonra işlemi yeniden yapmayı dener misiniz?
https://bilge.kuveytturk.com.tr/genel/24374-dlp-forcepoint-one-endpoint","10","3","Aşağıdaki linkte yer alan ""DLP Ajanı Nasıl Güncellenir?"" başlığındaki adımları uyguladıktan sonra işlemi yeniden yapmayı dener misiniz?
https://bilge.kuveytturk.com.tr/genel/24374-dlp-forcepoint-one-endpoint","hatasoy",NULL,NULL
